 N   tn       tk      t1      u1      u2      u3      u4
 51 -10.000  20.000   5.000   5.000   0.000  10.000 100.000
  N             Time          U input         U output
     1        -10.000          0.000          0.000
     2         -9.400          0.200          2.000
     3         -8.800          0.400          4.000
     4         -8.200          0.600          6.000
     5         -7.600          0.800          8.000
     6         -7.000          1.000         10.000
     7         -6.400          1.200         12.000
     8         -5.800          1.400         14.000
     9         -5.200          1.600         16.000
    10         -4.600          1.800         18.000
    11         -4.000          2.000         20.000
    12         -3.400          2.200         22.000
    13         -2.800          2.400         24.000
    14         -2.200          2.600         26.000
    15         -1.600          2.800         28.000
    16         -1.000          3.000         30.000
    17         -0.400          3.200         32.000
    18          0.200          3.400         34.000
    19          0.800          3.600         36.000
    20          1.400          3.800         38.000
    21          2.000          4.000         40.000
    22          2.600          4.200         42.000
    23          3.200          4.400         44.000
    24          3.800          4.600         46.000
    25          4.400          4.800         48.000
    26          5.000          5.000         50.000
    27          5.600          4.800         48.000
    28          6.200          4.600         46.000
    29          6.800          4.400         44.000
    30          7.400          4.200         42.000
    31          8.000          4.000         40.000
    32          8.600          3.800         38.000
    33          9.200          3.600         36.000
    34          9.800          3.400         34.000
    35         10.400          3.200         32.000
    36         11.000          3.000         30.000
    37         11.600          2.800         28.000
    38         12.200          2.600         26.000
    39         12.800          2.400         24.000
    40         13.400          2.200         22.000
    41         14.000          2.000         20.000
    42         14.600          1.800         18.000
    43         15.200          1.600         16.000
    44         15.800          1.400         14.000
    45         16.400          1.200         12.000
    46         17.000          1.000         10.000
    47         17.600          0.800          8.000
    48         18.200          0.600          6.000
    49         18.800          0.400          4.000
    50         19.400          0.200          2.000
    51         20.000          0.000          0.000
   Input impulse duration  Output impulse duration
         15.000             15.000

