 N   tn       tk      t1      u1      u2      u3      u4
 41 -10.000  20.000   5.000  40.000   1.000  10.000 100.000
  N             Time          U input         U output
     1        -10.000          0.000          0.000
     2         -9.250          2.000         11.111
     3         -8.500          4.000         33.333
     4         -7.750          6.000         55.556
     5         -7.000          8.000         77.778
     6         -6.250         10.000        100.000
     7         -5.500         12.000        100.000
     8         -4.750         14.000        100.000
     9         -4.000         16.000        100.000
    10         -3.250         18.000        100.000
    11         -2.500         20.000        100.000
    12         -1.750         22.000        100.000
    13         -1.000         24.000        100.000
    14         -0.250         26.000        100.000
    15          0.500         28.000        100.000
    16          1.250         30.000        100.000
    17          2.000         32.000        100.000
    18          2.750         34.000        100.000
    19          3.500         36.000        100.000
    20          4.250         38.000        100.000
    21          5.000         40.000        100.000
    22          5.750         38.000        100.000
    23          6.500         36.000        100.000
    24          7.250         34.000        100.000
    25          8.000         32.000        100.000
    26          8.750         30.000        100.000
    27          9.500         28.000        100.000
    28         10.250         26.000        100.000
    29         11.000         24.000        100.000
    30         11.750         22.000        100.000
    31         12.500         20.000        100.000
    32         13.250         18.000        100.000
    33         14.000         16.000        100.000
    34         14.750         14.000        100.000
    35         15.500         12.000        100.000
    36         16.250         10.000        100.000
    37         17.000          8.000         77.778
    38         17.750          6.000         55.556
    39         18.500          4.000         33.333
    40         19.250          2.000         11.111
    41         20.000          0.000          0.000
   Input impulse duration  Output impulse duration
         15.750             26.250

