 N   tn       tk      t1      u1      u2      u3      u4
 31 -10.000  20.000   5.000   1.000   0.000  10.000 100.000

  N      Time        U input       U output
     1        -10.000          0.000          0.000
     2         -9.000          0.067          0.007
     3         -8.000          0.133          0.013
     4         -7.000          0.200          0.020
     5         -6.000          0.267          0.027
     6         -5.000          0.333          0.033
     7         -4.000          0.400          0.040
     8         -3.000          0.467          0.047
     9         -2.000          0.533          0.053
    10         -1.000          0.600          0.060
    11          0.000          0.667          0.067
    12          1.000          0.733          0.073
    13          2.000          0.800          0.080
    14          3.000          0.867          0.087
    15          4.000          0.933          0.093
    16          5.000          1.000          0.100
    17          6.000          0.933          0.093
    18          7.000          0.867          0.087
    19          8.000          0.800          0.080
    20          9.000          0.733          0.073
    21         10.000          0.667          0.067
    22         11.000          0.600          0.060
    23         12.000          0.533          0.053
    24         13.000          0.467          0.047
    25         14.000          0.400          0.040
    26         15.000          0.333          0.033
    27         16.000          0.267          0.027
    28         17.000          0.200          0.020
    29         18.000          0.133          0.013
    30         19.000          0.067          0.007
    31         20.000          0.000          0.000
   Input impulse duration  Output impulse duration
         16.000             31.000

